all,kall,k,kcr,kli,kpr,knpr,ksd,kst,kap,kfo,knf,kres,kfeed,cereals20,cereals,oilcrops,sugarcrops,bioenergycrops,other_crops,crops_excluding_bioenergy_and_forage,kforest,k_trade,k_notrade,time,t_all,processing20,past,past_all,past_soc,awms,awms_prp,awms_conf,pollutants_all,pollutants,n_pollutants_direct,land,kall_agg1,kall_agg2,npk,attributes,dm_ge_nr,report_it,default_sep18,biogas_dec18,biochar_jan19
y1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
milling,,,,,,,,,,,,,,,,,,,,,,,,,,processing20,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
refining,,,,,,,,,,,,,,,,,,,,,,,,,,processing20,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
extracting,,,,,,,,,,,,,,,,,,,,,,,,,,processing20,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
distilling,,,,,,,,,,,,,,,,,,,,,,,,,,processing20,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
fermentation,,,,,,,,,,,,,,,,,,,,,,,,,,processing20,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
breeding,,,,,,,,,,,,,,,,,,,,,,,,,,processing20,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
ginning,,,,,,,,,,,,,,,,,,,,,,,,,,processing20,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
anaerobic_digestion,,,,,,,,,,,,,,,,,,,,,,,,,,processing20,,,,,,,,,,,,,,,,,,biogas_dec19,
